"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C4,C6,C7,C8,C9,C10,C11,C12,C14,C15,C16,C2,C5,C17";"SMD_Packages:SM0603_Capa";14;"100n";;;
2;"C13";"Capacitors_SMD:c_elec_4x5.7";1;"10uF";;;
3;"C18,C19,C20,C21,C22";"Capacitors_SMD:c_elec_6.3x7.7";5;"100uF";;;
4;"D1";"LEDs:LED-0603";1;"BUSY";;;
5;"D2";"LEDs:LED-0603";1;"PRW 12V";;;
6;"D3";"LEDs:LED-0603";1;"PWR 5V";;;
7;"D4";"LEDs:LED-0603";1;"PWR 3V3";;;
8;"D5";"LEDs:LED-0603";1;"ST-E0";;;
9;"D6";"LEDs:LED-0603";1;"ST-Y";;;
10;"D7";"LEDs:LED-0603";1;"ST-E1";;;
11;"D8";"LEDs:LED-0603";1;"ST-X";;;
12;"D9";"LEDs:LED-0603";1;"ST-Z";;;
13;"D10";"LEDs:LED-0603";1;"EXTR";;;
14;"D11";"LEDs:LED-0603";1;"HIC0";;;
15;"D14";"LEDs:LED-0603";1;"HIC1";;;
16;"D15";"LEDs:LED-0603";1;"HB";;;
17;"D18";"LEDs:LED-0603";1;"FAN0";;;
18;"D19";"LEDs:LED-0603";1;"FAN1";;;
19;"D20";"LEDs:LED-0603";1;"LOC0";;;
20;"D21";"LEDs:LED-0603";1;"LOC1";;;
21;"IC1";"SMD_Packages:TQFP_100";1;"ATXMEGA128A1U-A";;;
22;"J1";"Connect:USB_B";1;"USB";;;
23;"P1";"Connect:PINHEAD1-6";1;"POWER";;;
24;"P3";"Connect:VASCH5x2";1;"GPIO_B";;;
25;"P4";"Connect:PINHEAD1-2";1;"BEEPER";;;
26;"P5";"Connect:VASCH5x2";1;"OPEN_COLL_D";;;
27;"P6";"Connect:PINHEAD1-2";1;"12V";;;
28;"P7";"Connect:PINHEAD1-2";1;"5V";;;
29;"P8";"Connect:PINHEAD1-2";1;"3.3V";;;
30;"P10";"Connect:SIL-5";1;"USART";;;
31;"P11";"Connect:PINHEAD1-2";1;"TH_HB";;;
32;"P12";"Connect:PINHEAD1-2";1;"TH_EX";;;
33;"P13";"Connect:PINHEAD1-2";1;"TH_HO";;;
34;"P14";"Connect:VASCH8x2";1;"LCD";;;
35;"P20";"Connect:bornier2";1;"EXTR";;;
36;"P21";"Connect:bornier2";1;"HIC_0";;;
37;"P22";"Connect:bornier2";1;"HEATBED";;;
38;"P23";"Connect:bornier2";1;"HIC_1";;;
39;"Q1,Q2,Q3,Q4";"Transistors_TO-220:TO-220_FET-GDS_Vertical_LargePads";4;"IRL1404";;;
40;"R1,R8,R9";"SMD_Packages:SM0805";3;"10k";;;
41;"R2,R5,R20,R21,R22,R23,R24";"SMD_Packages:SM0805";7;"680";;;
42;"R3,R25,R26,R27,R28,R29,R30,R31,R32";"SMD_Packages:SM0805";9;"4.7k";;;
43;"R4";"SMD_Packages:SM0805";1;"1.5k";;;
44;"R6,R7";"SMD_Packages:SM0805";2;"68";;;
45;"R10";"SMD_Packages:SM0805";1;"33k";;;
46;"R11,R12,R13";"SMD_Packages:SM0805";3;"5.6k";;;
47;"R14,R15,R16";"SMD_Packages:SM0805";3;"100k";;;
48;"R17,R18,R19";"SMD_Packages:SM0805";3;"15k";;;
49;"RV1,RV2,RV3,RV4";"3dp-special:ACP-CA6XV5";4;"100k";;;
50;"RV5";"3dp-special:ACP-CA6XV5";1;"20k";;;
51;"U1";"SMD_Packages:SO8E";1;"NE 4558 D SMD";;;
52;"U2,U10";"SMD_Packages:SO16E";2;"ULN_2003_A";;;
53;"U3,U4,U5,U6,U7";"3dp-special:a4988-bo";5;"A4988-BO";;;
54;"U8,U9";"SOIC_Packages:SOIC-8_N";2;"MCP14E10";;;
55;"VR1,VR2,VR3,VR4,VR5,VR6,VR7";"SMD_Packages:SM0805";7;"14V";;;
56;"C1,C3";"Capacitors_SMD:c_elec_10x10";2;"470uF";;;
57;"P28";"Connect:VASCH5x2";1;"INTERFACE";;;
58;"P15";"3dp-special:PSS4";1;"STP_Y";;;
59;"P16";"3dp-special:PSS4";1;"STP_E0";;;
60;"P17";"3dp-special:PSS4";1;"STP_X";;;
61;"P18";"3dp-special:PSS4";1;"STP_E1";;;
62;"P19";"3dp-special:PSS4";1;"STP_Z";;;
63;"SW1";"dip-s:DIPS-DS03";1;"Y";;;
64;"SW2";"dip-s:DIPS-DS03";1;"E0";;;
65;"SW3";"dip-s:DIPS-DS03";1;"X";;;
66;"SW4";"dip-s:DIPS-DS03";1;"E1";;;
67;"SW5";"dip-s:DIPS-DS03";1;"Z";;;
68;"K1";"3dp-special:PSS3";1;"X_MIN";;;
69;"K2";"3dp-special:PSS3";1;"X_MAX";;;
70;"K3";"3dp-special:PSS3";1;"Y_MIN";;;
71;"K4";"3dp-special:PSS3";1;"Y_MAX";;;
72;"K5";"3dp-special:PSS3";1;"Z_MIN";;;
73;"K6";"3dp-special:PSS3";1;"Z_MAX";;;
74;"P2";"3dp-special:PSS4";1;"PDI";;;
75;"P9";"3dp-special:PSS4";1;"I2C";;;
76;"P24";"3dp-special:PSS2";1;"FAN_0";;;
77;"P25";"3dp-special:PSS2";1;"FAN_1";;;
78;"P26";"3dp-special:PSS2";1;"LOC_0";;;
79;"P27";"3dp-special:PSS2";1;"LOC_1";;;
80;"D12,D13,D16,D17";"smd-diode:SOD323";4;"DIODE";;;
